URL,Method,Count,Files
/api/streaming/${event.id}/join/,POST,6,"src\components\VirtualEventDisplay.js; src\components\VirtualEventDisplay.js; src\components\VirtualEventDisplay.js; src\components\VirtualEventList.js; src\components\VirtualEventList.js; src\components\VirtualEventList.js"
/api/admin/events/${eventId}/export_csv/,GET,3,"src\components\EventDetailModal.js; src\components\EventDetailModal.js; src\components\EventDetailModal.js"
/api/admin/events/${eventId}/export_excel/,GET,3,"src\components\EventDetailModal.js; src\components\EventDetailModal.js; src\components\EventDetailModal.js"
